"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00262993718423615,1.29383941588066,0.16,0.039,1,"10","Gins2"
0.00264962772976945,0.286737643448448,0.16,0.062,1,"10","Klhl26"
0.00268599096455343,0.600858327328385,0.26,0.096,1,"10","Ick"
0.00269367933637427,1.25519449504868,0.12,0.041,1,"10","Nck2"
0.00269642013023821,0.85513742313678,0.14,0.043,1,"10","Tbc1d13"
0.00272974475913635,0.402611305482361,0.16,0.068,1,"10","Trub1"
0.00274493317592644,0.741924707914005,0.26,0.094,1,"10","Slc25a51"
0.00275905065002163,0.430773278960331,0.28,0.11,1,"10","Nipal2"
0.00277484524896267,0.5397234757965,0.26,0.103,1,"10","Elp3"
0.00277501950963551,0.717583735822393,0.38,0.213,1,"10","Rasal2"
0.00278857500089184,0.645321348066842,0.34,0.159,1,"10","Borcs6"
0.00279247694750855,0.386067126716108,0.34,0.16,1,"10","AI837181"
0.00279256843265746,1.1082843991805,0.12,0.037,1,"10","Mlxip"
0.00279256843265746,0.481772908493461,0.12,0.05,1,"10","4921504A21Rik"
0.00281428084256795,0.985976622222603,0.18,0.064,1,"10","Plaa"
0.00286451446518899,0.285596804881673,0.68,0.414,1,"10","Six6"
0.00286817616952953,0.53776514801388,0.22,0.091,1,"10","Tmem248"
0.00286989539015579,0.308541362121088,0.36,0.167,1,"10","Kcnab2"
0.00290814673638938,0.449866055531918,0.58,0.312,1,"10","Cry2"
0.00292385404720891,0.336982387932794,0.24,0.091,1,"10","Pik3r2"
0.00294474767375809,0.38762022304272,0.26,0.108,1,"10","Ska2"
0.00294542984772906,0.286315843588794,0.2,0.102,1,"10","Gstt2"
0.00294695401883683,0.739374521291716,0.22,0.069,1,"10","Zc3h12c"
0.00295081455329086,0.627305984588794,0.18,0.056,1,"10","Chpf2"
0.00296714537661686,0.268287616418209,0.34,0.171,1,"10","Fem1b"
0.00297613155505153,0.505320331351209,0.34,0.171,1,"10","Zhx1"
0.00297664218111562,0.573594257489081,0.26,0.109,1,"10","Ppp1r21"
0.00298132577628684,0.250925545724199,0.86,0.488,1,"10","D8Ertd738e"
0.00299486384182518,0.36957308886357,0.84,0.481,1,"10","Rims2"
0.00300035967076101,0.873647277184126,0.12,0.042,1,"10","R74862"
0.00300531091364162,0.457202920882808,0.28,0.142,1,"10","Ece1"
0.00301766613449805,0.277255167208601,0.26,0.104,1,"10","Gga1"
0.00302714823719441,1.61475172047665,0.14,0.035,1,"10","Iqgap2"
0.00304963497891383,0.542581816931307,0.26,0.119,1,"10","Ddx27"
0.00305446542707152,1.00325583408954,0.12,0.025,1,"10","Fign"
0.00305985663592759,3.35361267177126,0.12,0.024,1,"10","Rbpms2"
0.00307026812503321,0.277854130116293,0.68,0.4,1,"10","Puf60"
0.00310841830134587,0.315135888414164,0.32,0.16,1,"10","Ctdnep1"
0.00311778109268691,0.40279453065469,0.2,0.079,1,"10","Trmu"
0.00313344699973607,0.696329375844714,0.2,0.052,1,"10","Mtg1"
0.00313523458008349,0.395215414524162,0.18,0.073,1,"10","Elk1"
